journ_id,formal_name,subd_id
310,ACS APPLIED MATERIALS & INTERFACES,365
311,ACS CHEMICAL BIOLOGY,523
312,ACS CHEMICAL NEUROSCIENCE,54
313,"Acs Division Of Environmental Chemistry, Preprints",508
314,"Acs Division Of Fuel Chemistry, Preprints",470
316,ACS MEDICINAL CHEMISTRY LETTERS,523
317,ACS NANO,185
318,Acs National Meeting Book Of Abstracts,508
319,Acs Symposium Series,538
320,"Acs, Division Of Environmental Chemistry - Preprints Of Extended Abstracts",508
321,Acsm'S Health And Fitness Journal,73
322,Acta Acustica (Stuttgart),497
323,Acta Acustica United With Acustica,497
324,ACTA ADRIATICA,343
325,Acta Agriculturae Scandinavica - Section A: Animal Science,107
326,Acta Agriculturae Scandinavica - Section B: Soil And Plant Science,120
327,Acta Alimentaria,49
328,Acta Anaesthesiologica Belgica,7
329,Acta Anaesthesiologica Italica / Anaesthesia And Intensive Care In Italy,7
330,Acta Anaesthesiologica Scandinavica,7
331,Acta Anaesthesiologica Sinica,7
332,Acta Anaesthesiologica Taiwanica,7
333,ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION,122
335,Acta Angiologica,59
336,Acta Applicandae Mathematicae,393
337,ACTA ARCHAEOLOGICA,468
338,Acta Arithmetica,435
339,Acta Astronautica,409
340,Acta Astronomica,103
341,Acta Biochimica Et Biophysica Sinica,1
342,Acta Biochimica Polonica,4
343,ACTA BIOETHICA,124
344,Acta Biologica Cracoviensia Series Botanica,404
345,Acta Biologica Hungarica,425
346,Acta Biologica Szegediensis,21
347,Acta Biomaterialia,165
348,Acta Bio-Medica De L'Ateneo Parmense : Organo Della Societa Di Medicina E Scienze Naturali Di Parma,303
349,Acta Bioquimica Clinica Latinoamericana,241
350,Acta Biotechnologica,315
351,Acta Biotheoretica,477
352,ACTA BOTANICA BRASILICA,196
353,Acta Botanica Croatica,53
354,Acta Botanica Gallica,419
355,ACTA BOTANICA MEXICANA,325
356,Acta Botanica Sinica,404
357,Acta Cardiologica,2
358,Acta Cardiologica Sinica,114
359,Acta Carsologica,548
360,Acta Chimica Sinica,470
361,Acta Chimica Slovenica,415
362,Acta Chiropterologica,524
363,Acta Chirurgiae Orthopaedicae Et Traumatologiae Cechoslovaca,62
364,Acta Chirurgiae Plasticae,210
365,Acta Chirurgica Austriaca,405
366,Acta Chirurgica Belgica,59
367,Acta Chirurgica Iugoslavica,478
368,Acta Chromatographica,75
369,Acta Cientifica Venezolana,178
371,Acta Ciru¡ÙRgica Brasileira / Sociedade Brasileira Para Desenvolvimento Pesquisa Em Cirurgia,167
372,ACTA CLASSICA,112
373,Acta Clinica Belgica,39
374,Acta Clinica Croatica,485
375,Acta Crystallographica - Section D Biological Crystallography,4
376,"Acta Crystallographica Section A, Foundations Of Crystallography",500
377,"Acta Crystallographica Section B, Structural Science",500
378,Acta Crystallographica Section E: Structure Reports Online,500
379,Acta Crystallographica Section F: Structural Biology And Crystallization Communications,4
380,"Acta Crystallographica, Section C: Crystal Structure Communications",500
381,Acta Cytologica,471
382,Acta Dermato-Venereologica,24
383,"Acta Dermatovenerologica Alpina, Pannonica Et Adriatica",24
384,Acta Dermatovenerologica Croatica,24
385,Acta Diabetologica,39
386,Acta Ecologica Sinica,404
387,ACTA ENDOCRINOLOGICA-BUCHAREST,82
388,Acta Endoscopica,309
389,ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,53
390,Acta Ethnographica Hungarica,250
391,ACTA ETHOLOGICA,401
392,Acta Farmaceutica Bonaerense,257
393,Acta Gastro-Enterologica Belgica,32
394,Acta Gastroenterologica Latinoamericana,349
395,Acta Genetica Sinica,372
396,Acta Geodaetica Et Cartographica Sinica,364
397,Acta Geodaetica Et Geophysica Hungarica,61
398,ACTA GEODYNAMICA ET GEOMATERIALIA,364
399,Acta Geographica Sinica,404
400,ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK,527
401,Acta Geologica Hispanica,426
402,Acta Geologica Hungarica,426
403,Acta Geologica Polonica,426
404,Acta Geologica Sinica,413
405,Acta Geologica Sinica-English Edition,413
406,ACTA GEOPHYSICA,374
407,Acta Geophysica Polonica,61
408,Acta Geophysica Sinica,61
409,ACTA GEOTECHNICA,239
410,ACTA GEOTECHNICA SLOVENICA,239
411,Acta Ginecologica,50
412,Acta Haematologica,19
413,Acta Haematologica Polonica,424
414,Acta Hepatologica Japonica,349
415,ACTA HERPETOLOGICA,113
416,Acta Histochemica,48
417,Acta Histochemica Et Cytochemica,48
418,ACTA HISTORICA TALLINNENSIA,379
419,ACTA HISTRIAE,488
420,Acta Hospitalia,236
421,Acta Hydrochimica Et Hydrobiologica,206
422,ACTA ICHTHYOLOGICA ET PISCATORIA,343
423,Acta Informatica,458
424,ACTA LINGUISTICA HUNGARICA,222
425,Acta Materialia,23
426,ACTA MATHEMATICA,337
427,Acta Mathematica Academiae Paedagogicae Nyiregyhaziensis,435
428,Acta Mathematica Hungarica,435
429,Acta Mathematica Scientia,14
430,"Acta Mathematica Sinica, English Series",14
431,Acta Mathematica Universitatis Comenianae,435
432,Acta Mathematicae Applicatae Sinica,14
433,Acta Mechanica,147
434,Acta Mechanica Sinica/Lixue Xuebao,147
435,Acta Mechanica Solida Sinica,147
436,Acta Medica Austriaca,399
437,Acta Medica Auxologica,530
438,Acta Medica Bulgarica,41
439,Acta Medica Croatica,554
440,Acta Medica Et Biologica,6
441,Acta Medica Indonesiana,116
442,Acta Medica Iranica,24
443,Acta Medica Mediterranea,425
444,Acta Medica Nagasakiensia,405
445,Acta Medica Okayama,349
446,Acta Medica Portuguesa,44
447,Acta Medica Romana,7
448,Acta Metallurgica Sinica (English Letters),23
449,Acta Meteorologica Sinica,293
450,Acta Microbiologica Et Immunologica Hungarica,315
451,Acta Microbiologica Hellenica,84
452,Acta Microbiologica Polonica,84
453,ACTA MICROSCOPICA,132
454,ACTA MONTANISTICA SLOVACA,364
455,ACTA MOZARTIANA,142
456,ACTA MUSICOLOGICA,142
457,Acta Myol,445
458,Acta Naturalia De L'Ateneo Parmense,413
459,Acta Neurobiologiae Experimentalis,40
460,Acta Neurochirurgica,44
461,"Acta Neurochirurgica, Supplement",44
462,Acta Neurologica Belgica,63
463,Acta Neurologica Scandinavica,63
464,"Acta Neurologica Scandinavica, Supplement",324
465,Acta Neurologica Taiwanica,63
466,Acta Neuropathologica,445
467,Acta Neuropsychiatrica,11
468,Acta Obstetrica Et Gynaecologica Japonica,251
469,Acta Obstetricia Et Gynecologica Scandinavica,50
470,Acta Oceanologica Sinica,72
471,Acta Odontologica Scandinavica,457
472,Acta Oecologica,213
473,ACTA OECONOMICA,375
474,ACTA OF BIOENGINEERING AND BIOMECHANICS,191
475,Acta Oncologica,286
476,ACTA OPHTHALMOLOGICA,41
477,Acta Ophthalmologica Scandinavica,68
478,"Acta Ophthalmologica Scandinavica, Supplement",41
479,ACTA ORIENTALIA,391
480,Acta Ornithologica,461
481,Acta Orthopaedica,62
482,Acta Orthopaedica Belgica,62
483,Acta Orthopaedica Et Traumatologica Turcica,414
484,Acta Orthopaedica Iugoslavica,414
485,Acta Orthopaedica Scandinavica,62
486,"Acta Orthopaedica Scandinavica, Supplement",424
487,ACTA ORTOPEDICA BRASILEIRA,243
488,Acta Oto-Laryngologica,110
489,"Acta Oto-Laryngologica, Supplement",226
491,Acta Otorhinolaryngologica Italica,478
492,Acta Otorrinolaringologica Espanola,478
493,Acta Paediatrica Taiwanica,76
494,"Acta Paediatrica, International Journal Of Paediatrics",76
495,"Acta Paediatrica, International Journal Of Paediatrics, Supplement",76
496,Acta Palaeobotanica,166
497,Acta Palaeontologica Polonica,78
498,Acta Parasitologica,528
499,ACTA PAULISTA DE ENFERMAGEM,138
500,Acta Pediatrica Espanola,76
502,Acta Petrologica Sinica,413
503,Acta Pharmaceutica,255
504,Acta Pharmaceutica Hungarica,37
505,Acta Pharmaceutica Turcica,255
506,Acta Pharmacologica Sinica,26
507,ACTA PHILOSOPHICA,544
